Source,Target
man,woman
foot,king
foot,mouth
king,house
river,fire
river,heart
destruction,clouds
eye,man
darkness,flocks
fool,night
destruction,night
fool,house
flame,world
flame,cloak
world,cloak
fool,head
king,drink
apollo,lyre
prometheus,man
apollo,love
pegasus,horse
apollo,mountain
persephone,earth
prometheus,earth
prometheus,fire
apollo,time
minotaur,king
apollo,music
apollo,laurel
hours,chariot
apollo,earth
persephone,meadow
persephone,mother
persephone,time
wine,water
west,wind
apollo,wind
narcissus,love
prometheus,rock
prometheus,sun
apollo,king
death,hand
pegasus,hero
pegasus,air
gorgon,head
gorgon,sword
minotaur,one
hesperides,garden
persephone,cerberus
apollo,footprints
apollo,cave
apollo,hand
apollo,meadow
apollo,child
apollo,throne
apollo,palace
apollo,loss
laurel,lyre
laurel,crown
apollo,gold
apollo,head
apollo,father
apollo,hours
hours,gold
hours,dawn
hours,heaven
dawn,heaven
dawn,apollo
apollo,heat
apollo,body
persephone,sound
persephone,head
persephone,valley
persephone,hand
apollo,chariot
persephone,palace
apollo,woman
persephone,light
persephone,throne
persephone,heart
persephone,king
persephone,pomegranate
wine,vine
wine,heart
pan,child
styx,mountain
styx,river
styx,hand
styx,honey
styx,figures
apollo,marriage
west,apollo
wind,apollo
apollo,foot
narcissus,nymphs
narcissus,shadow
persephone,hunter
dawn,palace
prometheus,oak
air,birds
prometheus,strength
prometheus,animals
prometheus,shape
man,animals
prometheus,metals
prometheus,time
prometheus,creation
prometheus,night
prometheus,secret
pandora,strength
pandora,box
pandora,war
war,world
wind,one
wind,earth
wind,water
wind,hair
clouds,head
clouds,dew
clouds,wings
fields,sea
sea,flocks
mud,sea
mud,earth
earth,mother
apollo,air
apollo,procession
minotaur,head
minotaur,bull
minotaur,body
minotaur,man
minotaur,house
pan,apollo
apollo,one
love,musician
love,music
apollo,year
apollo,prince
apollo,man
apollo,life
tomb,tree
tomb,wood
tomb,night
tomb,lion
adventure,hunt
pegasus,head
wind,crest
wind,helmet
wind,cloak
pegasus,flame
pegasus,stone
pegasus,hand
gorgon,blood
gorgon,stone
sea,king
voyage,time
gold,crown
hecate,night
hecate,herbs
seven,sacrifice
minotaur,weapons
minotaur,labyrinth
minotaur,ship
minotaur,hand
labyrinth,minotaur
minotaur,father
persephone,power
twelve,monsters
boar,time
twelve,sun
egypt,sea
river,ocean
river,world
river,sun
ocean,world
ocean,sun
earth,stars
garden,river
water,hair
cerberus,dog
cerberus,shadow
cerberus,flight
pan,styx
